country,organ,year,pub_count
AM,brain,2022,8
AM,brain,2023,2
AM,eye,2022,1
AM,heart,2020,2
AM,heart,2021,2
AM,heart,2022,4
AM,kidney,2022,1
AM,knee,2021,1
AM,liver,2018,1
AM,liver,2019,1
AM,liver,2020,2
AM,liver,2021,1
AM,liver,2022,1
AM,lung,2020,4
AM,lung,2021,2
AM,prostate,2023,1
AM,skeletal,2021,1
AM,skin,2019,1
AM,skin,2021,2
AM,skin,2023,1
AM,small intestine,2019,1
AM,spinal cord,2022,1
AO,heart,2017,1
AO,heart,2019,2
AO,heart,2020,3
AO,heart,2021,3
AO,heart,2022,5
AO,kidney,2021,1
AO,kidney,2022,2
AR,bone marrow,2014,1
AR,bone marrow,2016,2
AR,bone marrow,2018,3
AR,bone marrow,2019,3
AR,bone marrow,2020,1
AR,bone marrow,2022,1
AR,brain,2014,1
AR,brain,2015,1
AR,brain,2016,5
AR,brain,2017,15
AR,brain,2018,26
AR,brain,2019,27
AR,brain,2020,28
AR,brain,2021,49
AR,brain,2022,49
AR,brain,2023,6
AR,eye,2017,3
AR,eye,2018,2
AR,eye,2019,2
AR,eye,2020,5
AR,eye,2021,9
AR,eye,2022,9
AR,eye,2023,3
AR,fallopian tube,2018,1
AR,fallopian tube,2019,1
AR,fallopian tube,2020,4
AR,heart,2016,3
AR,heart,2017,6
AR,heart,2018,9
AR,heart,2019,13
AR,heart,2020,32
AR,heart,2021,43
AR,heart,2022,47
AR,heart,2023,4
AR,kidney,2016,2
AR,kidney,2017,4
AR,kidney,2018,8
AR,kidney,2019,7
AR,kidney,2020,17
AR,kidney,2021,26
AR,kidney,2022,27
AR,kidney,2023,10
AR,knee,2018,1
AR,knee,2019,2
AR,knee,2020,2
AR,knee,2021,2
AR,knee,2022,3
AR,knee,2023,2
AR,liver,2014,1
AR,liver,2016,2
AR,liver,2017,15
AR,liver,2018,23
AR,liver,2019,30
AR,liver,2020,33
AR,liver,2021,67
AR,liver,2022,64
AR,liver,2023,16
AR,lung,2017,3
AR,lung,2018,6
AR,lung,2019,18
AR,lung,2020,14
AR,lung,2021,22
AR,lung,2022,22
AR,lung,2023,5
AR,lymph node,2017,3
AR,lymph node,2018,3
AR,lymph node,2019,4
AR,lymph node,2020,3
AR,lymph node,2021,3
AR,lymph node,2022,7
AR,lymph node,2023,3
AR,ovary,2016,1
AR,ovary,2017,1
AR,ovary,2018,3
AR,ovary,2019,4
AR,ovary,2020,9
AR,ovary,2021,7
AR,ovary,2022,5
AR,pancreas,2018,1
AR,pancreas,2019,3
AR,pancreas,2020,3
AR,pancreas,2021,2
AR,pancreas,2022,2
AR,pancreas,2023,2
AR,pelvis,2017,1
AR,pelvis,2019,1
AR,pelvis,2020,1
AR,pelvis,2022,1
AR,peripheral nervous system,2019,1
AR,peripheral nervous system,2022,1
AR,peripheral nervous system,2023,1
AR,placenta,2017,2
AR,placenta,2018,5
AR,placenta,2019,2
AR,placenta,2020,6
AR,placenta,2021,8
AR,placenta,2022,13
AR,placenta,2023,2
AR,prostate,2017,2
AR,prostate,2018,2
AR,prostate,2019,4
AR,prostate,2020,5
AR,prostate,2021,7
AR,prostate,2022,7
AR,prostate,2023,2
AR,skeletal,2016,1
AR,skeletal,2017,1
AR,skeletal,2018,7
AR,skeletal,2019,3
AR,skeletal,2020,7
AR,skeletal,2021,13
AR,skeletal,2022,10
AR,skeletal,2023,2
AR,skin,2016,2
AR,skin,2017,3
AR,skin,2018,10
AR,skin,2019,11
AR,skin,2020,11
AR,skin,2021,22
AR,skin,2022,23
AR,skin,2023,4
AR,small intestine,2017,1
AR,small intestine,2019,1
AR,small intestine,2021,3
AR,small intestine,2022,2
AR,spinal cord,2014,1
AR,spinal cord,2016,1
AR,spinal cord,2017,1
AR,spinal cord,2018,1
AR,spinal cord,2019,1
AR,spinal cord,2020,5
AR,spinal cord,2021,11
AR,spinal cord,2022,5
AR,spleen,2018,1
AR,spleen,2019,2
AR,spleen,2020,1
AR,spleen,2022,1
AR,thymus,2018,1
AR,thymus,2019,2
AR,thymus,2020,1
AR,thymus,2021,1
AR,trachea,2016,1
AR,trachea,2017,1
AR,trachea,2021,2
AR,trachea,2022,4
AR,ureter,2017,1
AR,ureter,2019,1
AR,ureter,2021,2
AR,ureter,2022,1
AR,urinary bladder,2017,1
AR,urinary bladder,2018,1
AR,urinary bladder,2019,2
AR,urinary bladder,2020,2
AR,urinary bladder,2021,1
AR,urinary bladder,2022,1
AR,uterus,2016,2
AR,uterus,2017,1
AR,uterus,2020,3
AR,uterus,2021,2
AR,uterus,2022,4
AR,uterus,2023,1
AT,bone marrow,2015,2
AT,bone marrow,2016,1
AT,bone marrow,2017,6
AT,bone marrow,2018,5
AT,bone marrow,2019,10
AT,bone marrow,2020,13
AT,bone marrow,2021,12
AT,bone marrow,2022,10
AT,brain,2004,1
AT,brain,2014,4
AT,brain,2015,4
AT,brain,2016,21
AT,brain,2017,41
AT,brain,2018,82
AT,brain,2019,104
AT,brain,2020,125
AT,brain,2021,149
AT,brain,2022,166
AT,brain,2023,34
AT,eye,2014,1
AT,eye,2016,3
AT,eye,2017,8
AT,eye,2018,11
AT,eye,2019,8
AT,eye,2020,20
AT,eye,2021,31
AT,eye,2022,36
AT,eye,2023,7
AT,fallopian tube,2021,2
AT,fallopian tube,2022,2
AT,heart,2014,5
AT,heart,2015,2
AT,heart,2016,10
AT,heart,2017,20
AT,heart,2018,53
AT,heart,2019,46
AT,heart,2020,90
AT,heart,2021,112
AT,heart,2022,167
AT,heart,2023,24
AT,kidney,2014,1
AT,kidney,2015,1
AT,kidney,2016,9
AT,kidney,2017,20
AT,kidney,2018,35
AT,kidney,2019,39
AT,kidney,2020,61
AT,kidney,2021,70
AT,kidney,2022,64
AT,kidney,2023,12
AT,knee,2013,1
AT,knee,2014,5
AT,knee,2016,1
AT,knee,2017,3
AT,knee,2018,4
AT,knee,2019,11
AT,knee,2020,16
AT,knee,2021,36
AT,knee,2022,39
AT,knee,2023,9
AT,large intestine,2015,1
AT,large intestine,2018,2
AT,liver,2015,3
AT,liver,2016,6
AT,liver,2017,36
AT,liver,2018,75
AT,liver,2019,88
AT,liver,2020,130
AT,liver,2021,156
AT,liver,2022,134
AT,liver,2023,40
AT,lung,2015,1
AT,lung,2016,2
AT,lung,2017,17
AT,lung,2018,29
AT,lung,2019,41
AT,lung,2020,60
AT,lung,2021,89
AT,lung,2022,82
AT,lung,2023,14
AT,lymph node,2017,4
AT,lymph node,2018,10
AT,lymph node,2019,9
AT,lymph node,2020,13
AT,lymph node,2021,7
AT,lymph node,2022,13
AT,lymph node,2023,3
AT,muscular system,2018,2
AT,muscular system,2019,1
AT,ovary,2017,3
AT,ovary,2018,3
AT,ovary,2019,11
AT,ovary,2020,8
AT,ovary,2021,7
AT,ovary,2022,7
AT,ovary,2023,1
AT,pancreas,2017,1
AT,pancreas,2018,5
AT,pancreas,2019,2
AT,pancreas,2020,8
AT,pancreas,2021,8
AT,pancreas,2022,9
AT,pancreas,2023,1
AT,pelvis,2018,1
AT,pelvis,2019,4
AT,pelvis,2020,4
AT,pelvis,2021,7
AT,pelvis,2022,3
AT,pelvis,2023,3
AT,peripheral nervous system,2019,2
AT,peripheral nervous system,2020,1
AT,peripheral nervous system,2021,3
AT,peripheral nervous system,2022,2
AT,placenta,2014,1
AT,placenta,2015,1
AT,placenta,2016,3
AT,placenta,2017,4
AT,placenta,2018,13
AT,placenta,2019,8
AT,placenta,2020,12
AT,placenta,2021,23
AT,placenta,2022,21
AT,placenta,2023,2
AT,prostate,2016,2
AT,prostate,2017,5
AT,prostate,2018,22
AT,prostate,2019,6
AT,prostate,2020,21
AT,prostate,2021,49
AT,prostate,2022,45
AT,prostate,2023,18
AT,skeletal,2015,3
AT,skeletal,2016,6
AT,skeletal,2017,22
AT,skeletal,2018,17
AT,skeletal,2019,32
AT,skeletal,2020,37
AT,skeletal,2021,45
AT,skeletal,2022,51
AT,skeletal,2023,12
AT,skin,2014,1
AT,skin,2015,3
AT,skin,2016,6
AT,skin,2017,15
AT,skin,2018,36
AT,skin,2019,45
AT,skin,2020,69
AT,skin,2021,89
AT,skin,2022,66
AT,skin,2023,24
AT,small intestine,2018,1
AT,small intestine,2020,1
AT,small intestine,2021,3
AT,small intestine,2022,2
AT,spinal cord,2015,2
AT,spinal cord,2016,1
AT,spinal cord,2017,3
AT,spinal cord,2018,6
AT,spinal cord,2019,5
AT,spinal cord,2020,10
AT,spinal cord,2021,14
AT,spinal cord,2022,18
AT,spinal cord,2023,2
AT,spleen,2016,1
AT,spleen,2017,3
AT,spleen,2018,5
AT,spleen,2019,7
AT,spleen,2020,4
AT,spleen,2021,7
AT,spleen,2022,3
AT,thymus,2016,1
AT,thymus,2018,1
AT,thymus,2019,2
AT,thymus,2020,3
AT,thymus,2021,5
AT,thymus,2022,3
AT,trachea,2016,2
AT,trachea,2017,2
AT,trachea,2018,1
AT,trachea,2019,1
AT,trachea,2020,5
AT,trachea,2021,5
AT,trachea,2022,1
AT,trachea,2023,2
AT,ureter,2016,1
AT,ureter,2017,1
AT,ureter,2018,1
AT,ureter,2020,4
AT,ureter,2021,7
AT,ureter,2022,10
AT,ureter,2023,3
AT,urinary bladder,2017,2
AT,urinary bladder,2018,7
AT,urinary bladder,2019,5
AT,urinary bladder,2020,7
AT,urinary bladder,2021,14
AT,urinary bladder,2022,22
AT,urinary bladder,2023,7
AT,uterus,2018,2
AT,uterus,2019,5
AT,uterus,2020,2
AT,uterus,2021,2
AT,uterus,2022,3
AU,blood vasculature,2018,2
AU,blood vasculature,2023,1
AU,bone marrow,2014,1
AU,bone marrow,2015,1
AU,bone marrow,2016,12
AU,bone marrow,2017,15
AU,bone marrow,2018,32
AU,bone marrow,2019,33
AU,bone marrow,2020,32
AU,bone marrow,2021,35
AU,bone marrow,2022,35
AU,bone marrow,2023,3
AU,brain,2004,1
AU,brain,2006,1
AU,brain,2013,3
AU,brain,2014,9
AU,brain,2015,34
AU,brain,2016,68
AU,brain,2017,168
AU,brain,2018,312
AU,brain,2019,420
AU,brain,2020,447
AU,brain,2021,560
AU,brain,2022,690
AU,brain,2023,145
AU,eye,2013,1
AU,eye,2014,2
AU,eye,2015,3
AU,eye,2016,10
AU,eye,2017,44
AU,eye,2018,76
AU,eye,2019,113
AU,eye,2020,133
AU,eye,2021,142
AU,eye,2022,173
AU,eye,2023,40
AU,fallopian tube,2017,2
AU,fallopian tube,2019,1
AU,fallopian tube,2020,5
AU,fallopian tube,2021,7
AU,fallopian tube,2022,6
AU,heart,2014,3
AU,heart,2015,16
AU,heart,2016,36
AU,heart,2017,99
AU,heart,2018,164
AU,heart,2019,252
AU,heart,2020,271
AU,heart,2021,350
AU,heart,2022,414
AU,heart,2023,86
AU,kidney,2014,2
AU,kidney,2015,4
AU,kidney,2016,27
AU,kidney,2017,66
AU,kidney,2018,122
AU,kidney,2019,216
AU,kidney,2020,248
AU,kidney,2021,285
AU,kidney,2022,305
AU,kidney,2023,62
AU,knee,2009,1
AU,knee,2015,5
AU,knee,2016,17
AU,knee,2017,28
AU,knee,2018,50
AU,knee,2019,92
AU,knee,2020,112
AU,knee,2021,121
AU,knee,2022,184
AU,knee,2023,41
AU,large intestine,2018,1
AU,large intestine,2019,2
AU,large intestine,2020,1
AU,large intestine,2021,6
AU,large intestine,2022,2
AU,liver,2013,1
AU,liver,2015,24
AU,liver,2016,64
AU,liver,2017,186
AU,liver,2018,430
AU,liver,2019,525
AU,liver,2020,712
AU,liver,2021,876
AU,liver,2022,994
AU,liver,2023,215
AU,lung,2015,14
AU,lung,2016,43
AU,lung,2017,87
AU,lung,2018,156
AU,lung,2019,261
AU,lung,2020,287
AU,lung,2021,368
AU,lung,2022,322
AU,lung,2023,75
AU,lymph node,2016,6
AU,lymph node,2017,20
AU,lymph node,2018,26
AU,lymph node,2019,33
AU,lymph node,2020,46
AU,lymph node,2021,48
AU,lymph node,2022,60
AU,lymph node,2023,14
AU,lymph vasculature,2018,2
AU,lymph vasculature,2021,1
AU,lymph vasculature,2023,2
AU,muscular system,2017,1
AU,muscular system,2018,3
AU,muscular system,2019,2
AU,muscular system,2020,3
AU,muscular system,2021,3
AU,muscular system,2022,9
AU,ovary,2015,1
AU,ovary,2016,4
AU,ovary,2017,10
AU,ovary,2018,16
AU,ovary,2019,40
AU,ovary,2020,36
AU,ovary,2021,39
AU,ovary,2022,54
AU,ovary,2023,11
AU,pancreas,2016,3
AU,pancreas,2017,4
AU,pancreas,2018,8
AU,pancreas,2019,7
AU,pancreas,2020,20
AU,pancreas,2021,13
AU,pancreas,2022,16
AU,pancreas,2023,6
AU,pelvis,2016,1
AU,pelvis,2017,1
AU,pelvis,2018,7
AU,pelvis,2019,4
AU,pelvis,2020,21
AU,pelvis,2021,7
AU,pelvis,2022,25
AU,pelvis,2023,3
AU,peripheral nervous system,2017,2
AU,peripheral nervous system,2018,9
AU,peripheral nervous system,2019,12
AU,peripheral nervous system,2020,9
AU,peripheral nervous system,2021,22
AU,peripheral nervous system,2022,20
AU,peripheral nervous system,2023,4
AU,placenta,2015,4
AU,placenta,2016,6
AU,placenta,2017,26
AU,placenta,2018,31
AU,placenta,2019,38
AU,placenta,2020,48
AU,placenta,2021,60
AU,placenta,2022,78
AU,placenta,2023,15
AU,prostate,2015,1
AU,prostate,2016,8
AU,prostate,2017,41
AU,prostate,2018,82
AU,prostate,2019,115
AU,prostate,2020,132
AU,prostate,2021,178
AU,prostate,2022,172
AU,prostate,2023,53
AU,skeletal,2014,3
AU,skeletal,2015,14
AU,skeletal,2016,21
AU,skeletal,2017,96
AU,skeletal,2018,169
AU,skeletal,2019,186
AU,skeletal,2020,211
AU,skeletal,2021,253
AU,skeletal,2022,256
AU,skeletal,2023,57
AU,skin,2014,3
AU,skin,2015,11
AU,skin,2016,21
AU,skin,2017,81
AU,skin,2018,172
AU,skin,2019,223
AU,skin,2020,285
AU,skin,2021,300
AU,skin,2022,285
AU,skin,2023,66
AU,small intestine,2016,2
AU,small intestine,2017,6
AU,small intestine,2018,11
AU,small intestine,2019,16
AU,small intestine,2020,23
AU,small intestine,2021,10
AU,small intestine,2022,20
AU,small intestine,2023,3
AU,spinal cord,2011,1
AU,spinal cord,2014,1
AU,spinal cord,2015,7
AU,spinal cord,2016,7
AU,spinal cord,2017,21
AU,spinal cord,2018,35
AU,spinal cord,2019,54
AU,spinal cord,2020,49
AU,spinal cord,2021,72
AU,spinal cord,2022,89
AU,spinal cord,2023,15
AU,spleen,2014,1
AU,spleen,2015,1
AU,spleen,2016,1
AU,spleen,2017,11
AU,spleen,2018,13
AU,spleen,2019,14
AU,spleen,2020,21
AU,spleen,2021,23
AU,spleen,2022,9
AU,spleen,2023,1
AU,thymus,2016,4
AU,thymus,2017,3
AU,thymus,2018,6
AU,thymus,2019,5
AU,thymus,2020,7
AU,thymus,2021,4
AU,thymus,2022,5
AU,thymus,2023,1
AU,trachea,2015,1
AU,trachea,2016,3
AU,trachea,2017,10
AU,trachea,2018,15
AU,trachea,2019,22
AU,trachea,2020,30
AU,trachea,2021,31
AU,trachea,2022,30
AU,trachea,2023,9
AU,ureter,2016,1
AU,ureter,2017,5
AU,ureter,2018,5
AU,ureter,2019,10
AU,ureter,2020,8
AU,ureter,2021,13
AU,ureter,2022,16
AU,ureter,2023,6
AU,urinary bladder,2015,1
AU,urinary bladder,2016,1
AU,urinary bladder,2017,6
AU,urinary bladder,2018,23
AU,urinary bladder,2019,21
AU,urinary bladder,2020,18
AU,urinary bladder,2021,39
AU,urinary bladder,2022,47
AU,urinary bladder,2023,11
AU,uterus,2016,1
AU,uterus,2017,4
AU,uterus,2018,3
AU,uterus,2019,8
AU,uterus,2020,14
AU,uterus,2021,16
AU,uterus,2022,12
AU,uterus,2023,1
AZ,brain,2017,3
AZ,brain,2018,1
AZ,brain,2019,2
AZ,brain,2020,4
AZ,brain,2021,2
AZ,brain,2022,9
AZ,brain,2023,2
AZ,eye,2015,1
AZ,eye,2018,1
AZ,eye,2019,4
AZ,eye,2021,1
AZ,eye,2022,1
AZ,heart,2019,3
AZ,heart,2022,1
AZ,kidney,2019,1
AZ,kidney,2021,6
AZ,knee,2022,1
AZ,liver,2019,1
AZ,liver,2020,2
AZ,liver,2021,2
AZ,liver,2022,4
AZ,liver,2023,1
AZ,lung,2022,1
AZ,lymph node,2019,1
AZ,pancreas,2019,1
AZ,pancreas,2020,2
AZ,placenta,2020,1
AZ,placenta,2021,2
AZ,placenta,2022,1
AZ,prostate,2019,1
AZ,skeletal,2018,1
AZ,skeletal,2020,1
AZ,skeletal,2021,3
AZ,skeletal,2022,1
AZ,skin,2018,1
AZ,skin,2019,2
AZ,skin,2022,1
AZ,spinal cord,2018,1
AZ,spinal cord,2019,1
AZ,spinal cord,2020,3
AZ,spinal cord,2021,5
AZ,spinal cord,2022,2
AZ,spleen,2021,1
AZ,thymus,2022,1
AZ,trachea,2021,1
AZ,urinary bladder,2018,2
AZ,urinary bladder,2019,2
AZ,urinary bladder,2020,4
AZ,urinary bladder,2021,6
AZ,urinary bladder,2022,6
AZ,urinary bladder,2023,1
BA,bone marrow,2021,1
BA,brain,2017,2
BA,brain,2019,1
BA,brain,2021,1
BA,brain,2022,1
BA,brain,2023,1
BA,eye,2022,1
BA,heart,2020,1
BA,heart,2022,2
BA,heart,2023,1
BA,kidney,2018,1
BA,kidney,2019,2
BA,kidney,2020,1
BA,kidney,2021,3
BA,kidney,2022,3
BA,kidney,2023,1
BA,knee,2022,1
BA,liver,2016,1
BA,liver,2018,2
BA,liver,2019,1
BA,liver,2020,4
BA,liver,2021,7
BA,liver,2022,9
BA,liver,2023,1
BA,lung,2018,1
BA,lung,2021,2
BA,lung,2022,2
BA,ovary,2021,2
BA,pancreas,2022,1
BA,placenta,2022,1
BA,placenta,2023,1
BA,skeletal,2020,2
BA,skeletal,2022,4
BA,skeletal,2023,1
BA,skin,2020,1
BA,skin,2021,1
BA,skin,2022,1
BA,spleen,2020,1
BA,urinary bladder,2020,1
BA,uterus,2020,1
BA,uterus,2023,1
BB,heart,2016,1
BB,heart,2019,1
BB,heart,2022,1
BB,kidney,2020,1
BB,liver,2019,1
BB,liver,2022,3
BB,pancreas,2020,1
BB,prostate,2022,1
BB,skin,2017,1
BB,skin,2020,1
BB,skin,2022,1
BD,bone marrow,2018,1
BD,bone marrow,2019,1
BD,bone marrow,2020,2
BD,bone marrow,2021,2
BD,brain,2017,6
BD,brain,2018,3
BD,brain,2019,4
BD,brain,2020,15
BD,brain,2021,17
BD,brain,2022,34
BD,brain,2023,5
BD,eye,2018,3
BD,eye,2019,5
BD,eye,2020,3
BD,eye,2021,1
BD,eye,2022,6
BD,eye,2023,3
BD,heart,2018,5
BD,heart,2019,7
BD,heart,2020,4
BD,heart,2021,16
BD,heart,2022,13
BD,heart,2023,3
BD,kidney,2017,1
BD,kidney,2018,3
BD,kidney,2019,3
BD,kidney,2020,5
BD,kidney,2021,15
BD,kidney,2022,11
BD,kidney,2023,1
BD,knee,2019,2
BD,knee,2021,2
BD,knee,2022,6
BD,knee,2023,1
BD,liver,2017,8
BD,liver,2018,17
BD,liver,2019,19
BD,liver,2020,34
BD,liver,2021,43
BD,liver,2022,63
BD,liver,2023,7
BD,lung,2017,1
BD,lung,2018,4
BD,lung,2019,4
BD,lung,2020,11
BD,lung,2021,7
BD,lung,2022,18
BD,lung,2023,6
BD,lymph node,2020,1
BD,main bronchus,2019,1
BD,ovary,2019,2
BD,ovary,2020,1
BD,ovary,2022,1
BD,pancreas,2019,1
BD,pancreas,2021,2
BD,pancreas,2022,1
BD,pelvis,2020,1
BD,peripheral nervous system,2016,1
BD,peripheral nervous system,2018,1
BD,peripheral nervous system,2021,1
BD,placenta,2022,2
BD,prostate,2018,1
BD,prostate,2019,1
BD,prostate,2022,3
BD,prostate,2023,1
BD,skeletal,2017,1
BD,skeletal,2018,1
BD,skeletal,2020,5
BD,skeletal,2021,3
BD,skeletal,2022,6
BD,skeletal,2023,1
BD,skin,2018,1
BD,skin,2019,2
BD,skin,2020,4
BD,skin,2021,9
BD,skin,2022,14
BD,skin,2023,2
BD,small intestine,2017,1
BD,small intestine,2019,1
BD,small intestine,2023,1
BD,spinal cord,2018,2
BD,spinal cord,2020,3
BD,spinal cord,2021,3
BD,spinal cord,2022,6
BD,spinal cord,2023,2
BD,spleen,2017,1
BD,spleen,2018,2
BD,spleen,2019,1
BD,spleen,2020,1
BD,spleen,2021,1
BD,spleen,2022,2
BD,ureter,2020,1
BD,urinary bladder,2020,1
BD,urinary bladder,2022,1
BE,bone marrow,2016,1
BE,bone marrow,2017,5
BE,bone marrow,2018,7
BE,bone marrow,2019,9
BE,bone marrow,2020,20
BE,bone marrow,2021,13
BE,bone marrow,2022,4
BE,bone marrow,2023,1
BE,brain,2003,1
BE,brain,2014,3
BE,brain,2015,9
BE,brain,2016,25
BE,brain,2017,53
BE,brain,2018,112
BE,brain,2019,126
BE,brain,2020,157
BE,brain,2021,188
BE,brain,2022,219
BE,brain,2023,48
BE,eye,2015,2
BE,eye,2016,5
BE,eye,2017,12
BE,eye,2018,10
BE,eye,2019,16
BE,eye,2020,14
BE,eye,2021,33
BE,eye,2022,41
BE,eye,2023,18
BE,fallopian tube,2020,2
BE,fallopian tube,2021,2
BE,fallopian tube,2022,1
BE,heart,2015,3
BE,heart,2016,12
BE,heart,2017,32
BE,heart,2018,46
BE,heart,2019,83
BE,heart,2020,106
BE,heart,2021,164
BE,heart,2022,186
BE,heart,2023,40
BE,kidney,2014,2
BE,kidney,2015,3
BE,kidney,2016,8
BE,kidney,2017,25
BE,kidney,2018,42
BE,kidney,2019,41
BE,kidney,2020,84
BE,kidney,2021,102
BE,kidney,2022,112
BE,kidney,2023,21
BE,knee,2016,3
BE,knee,2017,7
BE,knee,2018,7
BE,knee,2019,16
BE,knee,2020,24
BE,knee,2021,28
BE,knee,2022,40
BE,knee,2023,7
BE,large intestine,2016,1
BE,large intestine,2019,2
BE,liver,2014,2
BE,liver,2015,3
BE,liver,2016,13
BE,liver,2017,41
BE,liver,2018,79
BE,liver,2019,106
BE,liver,2020,162
BE,liver,2021,193
BE,liver,2022,187
BE,liver,2023,52
BE,lung,2014,1
BE,lung,2016,10
BE,lung,2017,37
BE,lung,2018,30
BE,lung,2019,62
BE,lung,2020,90
BE,lung,2021,133
BE,lung,2022,148
BE,lung,2023,22
BE,lymph node,2014,1
BE,lymph node,2015,1
BE,lymph node,2016,3
BE,lymph node,2017,5
BE,lymph node,2018,12
BE,lymph node,2019,9
BE,lymph node,2020,17
BE,lymph node,2021,23
BE,lymph node,2022,17
BE,lymph node,2023,4
BE,muscular system,2019,1
BE,muscular system,2022,1
BE,ovary,2015,1
BE,ovary,2017,1
BE,ovary,2018,1
BE,ovary,2019,8
BE,ovary,2020,8
BE,ovary,2021,13
BE,ovary,2022,7
BE,pancreas,2017,1
